date;eurchf;gbpchf;usdchf;jpychf;audchf;xdrchf
2018-05;1.15669;1.31627;0.98715;0.90618;0.74895;1.3965
2018-06;1.15714;1.30801;0.99325;0.89696;0.73431;1.3976
2018-07;1.15843;1.29939;0.98775;0.88552;0.73306;1.3902
2018-08;1.12928;1.25945;0.9678;0.87366;0.70083;1.3577
2018-09;1.13493;1.27746;0.97725;0.86109;0.70557;1.363
2018-10;1.14034;1.28076;1.0059;0.88911;0.71198;1.3898
2018-11;1.1327;1.27229;0.996;0.87765;0.72733;1.3822
2018-12;1.1265;1.25464;0.985;0.89419;0.69546;1.3724
2019-01;1.14065;1.30245;0.99295;0.9147;0.72212;1.3934
2019-02;1.13444;1.32471;0.99595;0.89891;0.71096;1.3929
2019-03;1.11686;1.29689;0.996;0.89896;0.70542;1.3823
2019-04;1.141;1.32087;1.01825;0.91421;0.71822;1.4113
2019-05;1.12076;1.26824;1.0053;0.92403;0.69542;1.3847
2019-06;1.10934;1.23489;0.974;0.90474;0.68292;1.3571
2019-07;1.10402;1.20466;0.99055;0.9124;0.68284;1.3626
2019-08;1.09136;1.20313;0.9886;0.92905;0.66424;1.3516
2019-09;1.08585;1.22398;0.99305;0.92043;0.67046;1.3585
2019-10;1.10187;1.27708;0.98685;0.91118;0.68024;1.3619
2019-11;1.10006;1.28855;0.99965;0.91246;0.67746;1.3744
2019-12;1.08584;1.27393;0.96825;0.89162;0.67884;1.3369
2020-01;1.06994;1.27263;0.97025;0.89042;0.64885;1.3294
2020-02;1.06436;1.24404;0.9637;0.88677;0.62925;1.3276
2020-03;1.05882;1.18728;0.96405;0.88853;0.5927;1.3169
2020-04;1.05685;1.21127;0.97115;0.9103;0.63542;1.3274
2020-05;1.06913;1.18257;0.96175;0.89678;0.63942;1.3216
2020-06;1.06791;1.16837;0.95175;0.88383;0.65185;1.3066
2020-07;1.07648;1.19137;0.90785;0.86714;0.65288;1.2881
2020-08;1.07537;1.20239;0.9031;0.85291;0.66446;1.2812
2020-09;1.08069;1.18329;0.923;0.8736;0.65695;1.3004
2020-10;1.06927;1.18678;0.9159;0.87713;0.64502;1.2926
2020-11;1.08232;1.20379;0.9031;0.86803;0.66707;1.2928
2020-12;1.08216;1.20359;0.8812;0.85537;0.67874;1.2682
2021-01;1.07766;1.2157;0.88945;0.84819;0.67994;1.28
2021-02;1.09633;1.26048;0.90415;0.84965;0.70623;1.3035
2021-03;1.10646;1.29787;0.94195;0.85217;0.71772;1.3344
2021-04;1.10003;1.26473;0.90945;0.83509;0.70655;1.3074
2021-05;1.09774;1.27502;0.8999;0.82048;0.69621;1.2997
